Word,Valence,Extremity,Emotionality,Valence_StdDev,Extremity_StdDev,Emotionality_StdDev
irresponsible,1.17,3.33,5.03,1.21,1.11,1.94
irritable,1.17,3.33,6.40,1.23,1.23,2.06
irritated,1.17,3.33,6.60,1.12,1.12,2.08
scorn,1.17,3.33,6.63,1.29,1.20,1.94
degenerate,1.16,3.34,4.29,1.34,1.24,2.60
horrendous,1.16,3.34,5.21,1.52,1.42,2.91
manipulative,1.16,3.34,5.07,1.28,1.28,2.54
nauseous,1.16,3.34,4.58,1.14,1.14,3.05
rude,1.16,3.34,5.11,1.31,0.93,2.41
stank,1.16,3.34,2.11,1.21,1.21,2.44
harmful,1.16,3.35,4.62,1.26,1.10,2.57
disappointment,1.15,3.35,6.63,0.86,0.86,2.25
unkind,1.15,3.35,4.30,1.13,1.13,2.49
idiotic,1.14,3.36,4.90,1.27,1.27,2.79
rottenly,1.14,3.36,5.00,1.06,1.06,2.67
deceiving,1.13,3.37,5.83,1.96,0.94,2.29
viciously,1.13,3.37,7.13,1.41,1.32,1.61
bad,1.12,3.38,5.07,1.05,1.05,2.66
condemn,1.12,3.38,4.52,1.13,1.13,2.84
